"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"200818_at","200818_at","ATP5PO",0.711811568895735,10.1647785923294,6.94693266257847,2.8490013415293e-07,0.00634842968932974,5.94520382216582
"206777_s_at","206777_s_at",NA,-0.80508215196126,6.42184367644566,-6.6024158829321,6.57810593828806e-07,0.00732899673114365,5.29326608818965
"200642_at","200642_at","SOD1",0.83819070261397,10.1168370130527,6.23420154100528,1.63332128846895e-06,0.00802084649649851,4.57492534398987
"201123_s_at","201123_s_at","EIF5A",-1.80077206732193,7.06321512756527,-6.21768611971965,1.70191093095961e-06,0.00802084649649851,4.54220456399801
"202217_at","202217_at",NA,0.595064830464679,8.63445827686267,6.19525906798163,1.79976809596969e-06,0.00802084649649851,4.49770455165707
"221677_s_at","221677_s_at","DONSON",0.595269074226159,4.8954115421387,6.02205962246845,2.77632497642959e-06,0.0103108082416301,4.15148775486556
"201086_x_at","201086_x_at","SON",0.446203234033444,9.01264320816907,5.84462296631814,4.34143606813951e-06,0.0135258116807052,3.79227387414644
"202325_s_at","202325_s_at","ATP5PF",0.859556830155791,9.02419344722584,5.80034433236661,4.85601101492804e-06,0.0135258116807052,3.70194840830361
"203635_at","203635_at","VPS26C",0.351951726958228,6.17234183765001,5.68606185373004,6.48890215461519e-06,0.0142335983540329,3.46760671834463
"216954_x_at","216954_x_at","ATP5PO",0.411485899560401,7.45921904931753,5.67973534261109,6.59407827036383e-06,0.0142335983540329,3.45458396546638
"65588_at","65588_at","SNHG17",-0.483940140042693,5.97118627164664,-5.63210466154185,7.44339114459154e-06,0.0142335983540329,3.35637488395732
"218558_s_at","218558_s_at","MRPL39",0.458462520449348,7.36141800911173,5.61304167740046,7.81359708034744e-06,0.0142335983540329,3.31698889110046
"201201_at","201201_at","CSTB",0.686425433577366,9.28681307804608,5.58915318858679,8.30394375095039e-06,0.0142335983540329,3.26756907979103
"212269_s_at","212269_s_at","MCM3AP",0.616256113815302,7.25005103040768,5.46775442781621,1.13213370609879e-05,0.0170513984158505,3.01535548337547
"214988_s_at","214988_s_at","SON",0.486654896451601,8.61983652594573,5.46237100318224,1.14783007780711e-05,0.0170513984158505,3.00413088424873
"201122_x_at","201122_x_at","EIF5A",-0.502683483919824,8.17813165893772,-5.15202975075872,2.54626851342408e-05,0.0330402411241073,2.35179453421234
"220419_s_at","220419_s_at","USP25",0.537844143234405,6.99111279915138,5.1485209305603,2.56938595672105e-05,0.0330402411241073,2.34436431251538
"211513_s_at","211513_s_at","OGFR",-0.254265094488962,5.29416798034436,-5.13376206030909,2.66895992565602e-05,0.0330402411241073,2.31309897490378
"218386_x_at","218386_x_at","USP16",0.72435816091872,7.32658874566051,5.01183321835158,3.65520855139438e-05,0.0428679011319585,2.05408444087083
"210667_s_at","210667_s_at",NA,0.511437726002842,6.99218522961067,4.93970780269632,4.40361082186172e-05,0.0464299182180298,1.90030813390259
"202977_s_at","202977_s_at","CREBZF",-0.22080742157152,5.40623701684785,-4.93638807366433,4.44154488889163e-05,0.0464299182180298,1.8932210087318
"221224_s_at","221224_s_at","DCAKD",-0.331331655221469,5.2601913897082,-4.92416856860716,4.58402459631404e-05,0.0464299182180298,1.86712746106485
"209424_s_at","209424_s_at",NA,0.194737295295782,4.64093397570498,4.77797277908201,6.69001978072976e-05,0.0648146568582614,1.55418318783274
"214441_at","214441_at","STX6",-0.23790659004481,5.50604552720761,-4.62337224340784,9.98120936628906e-05,0.0926713701287579,1.22198598848402
"207288_at","207288_at","ASMTL-AS1",-0.184554583210666,5.07300296747753,-4.60215426963664,0.000105446554919912,0.0939866233312155,1.17631528970233
"203867_s_at","203867_s_at","NLE1",-0.220709811108004,6.34238333612463,-4.57323311525615,0.000113641966054689,0.0973955357537166,1.11403915369044
"214361_s_at","214361_s_at","RGS12",-0.219865264770206,5.67824984099893,-4.49485222370435,0.000139193756412605,0.108537687657896,0.945140077841693
"206272_at","206272_at","RAB4A",0.290314976303605,4.84503994924879,4.46454727446473,0.000150544571773345,0.108537687657896,0.879799688144388
"215596_s_at","215596_s_at","LTN1",0.600641978420324,5.67062798555383,4.46267298474323,0.000151276158216973,0.108537687657896,0.875757991426807
"211266_s_at","211266_s_at","GPR4",-0.277865442968349,5.91789551408936,-4.44442586911206,0.000158586360100216,0.108537687657896,0.836407196170074
"218485_s_at","218485_s_at","SLC35C1",-0.193974295877738,6.98636506653819,-4.44398611810865,0.000158766812841709,0.108537687657896,0.83545878993463
"215530_at","215530_at","FANCA",-0.189680521391761,5.95451771159081,-4.43827837807487,0.000161127647497448,0.108537687657896,0.823148724130791
"220763_at","220763_at","HSPA12A",-0.243343742443013,5.49826082739906,-4.43221871276493,0.000163672345355935,0.108537687657896,0.81007917223867
"221609_s_at","221609_s_at","WNT6",-0.190915099975595,5.55138814238323,-4.42766788427474,0.000165609719533656,0.108537687657896,0.800263590226368
"221689_s_at","221689_s_at","PIGP",0.810206763348962,7.16645049251641,4.40618001483246,0.000175070691817338,0.11146000645045,0.753913738288628
"222264_at","222264_at","HNRNPUL2",-0.243265189379239,5.81076899740999,-4.38088245695896,0.000186901170864733,0.114288823386307,0.699341037752555
"213559_s_at","213559_s_at","ZNF467",-0.293392085333712,5.54096235596064,-4.37498450063687,0.000189771864887733,0.114288823386307,0.686617182211936
